"rid", "binaryID"
24657,1
24580,10
24681,11
24579,100
24432,110
24655,111
24581,1000
24431,1100
24578,1110
24656,1111
24430,11000
24577,11100
24654,11110
23714,111100
23713,1111000
24610,11110000
24611,11110001
24612,111100000
24683,111100001
23717,111100010
23726,111100011
24613,1111000000
24880,1111000001
24682,1111000010
23716,1111000100
23727,1111000110
24566,1111000111
24717,11110000000
24684,11110000100
23718,11110001000
23932,11110001001
23728,11110001100
24434,11110001101
24565,11110001110
24716,111100000000
23964,111100001000
24615,111100001001
23719,111100010000
23967,111100010001
23729,111100011000
24564,111100011001
24435,111100011010
23965,1111000010000
24614,1111000010010
23720,1111000100000
24574,1111000100001
23971,1111000100010
23730,1111000110000
24562,1111000110001
24563,1111000110010
24433,1111000110100
23966,11110000100000
24616,11110000100100
24728,11110001000000
23969,11110001000100
23731,11110001100000
23919,11110001100001
24561,11110001100010
24436,11110001101000
24438,11110001101001
24725,111100001001000
24727,111100010000000
24729,111100010000001
23970,111100010001000
23732,111100011000000
23918,111100011000010
24560,111100011000100
24437,111100011010010
24724,1111000010010000
24726,1111000010010001
24567,1111000100000000
23721,1111000100000010
23968,1111000100010000
24733,1111000110000000
23917,1111000110000100
24575,11110000100100000
23715,11110000100100010
23722,11110001000000100
24573,11110001000000101
24734,11110001100000000
24735,11110001100000001
23921,11110001100001000
24576,111100001001000000
24731,111100010000001000
24447,111100011000000000
24736,111100011000000010
24737,111100011000000011
23920,111100011000010000
24730,1111000100000010000
24732,1111000100000010001
24448,1111000110000000000
24452,1111000110000000001
24738,1111000110000000100
24739,1111000110000000101
23733,1111000110000000110
23916,1111000110000100000
24568,11110001000000100000
23723,11110001000000100010
24449,11110001100000000000
24455,11110001100000000001
24685,11110001100000001000
24535,11110001100000001010
24845,11110001100000001100
23922,11110001100001000000
23724,111100010000001000100
24569,111100010000001000101
24450,111100011000000000000
24454,111100011000000000001
24456,111100011000000000010
24457,111100011000000000011
24861,111100011000000010000
24843,111100011000000011000
24846,111100011000000011001
23923,111100011000010000000
23725,1111000100000010001000
24570,1111000100000010001010
24572,1111000100000010001011
24451,1111000110000000000000
24453,1111000110000000000010
24863,1111000110000000100000
24864,1111000110000000100001
24842,1111000110000000110000
24844,1111000110000000110001
24542,1111000110000000110010
